


Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.3,0.0,00:00:02.4,01:44:09.9,0.08,---,---,25.0,1,0.3,0.0,---,---,---,---,---,---,---,---,---,---,35.59328510,135.91053360
1,1.1,0.0,00:00:08.5,01:04:06.1,0.13,00:00:00.0,0.00,10.5,2,0.8,0.0,---,---,---,---,---,---,---,---,---,---,35.59328370,135.91052500
1,1.2,0.0,00:00:10.0,01:15:45.4,0.11,00:00:00.0,0.00,31.5,3,0.1,0.0,---,---,---,---,---,---,---,---,---,---,35.59328330,135.91052360
1,1.3,0.0,00:00:11.4,01:44:09.9,0.08,00:00:00.0,0.00,46.0,4,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328380,135.91052310
1,1.3,0.0,00:00:13.0,02:46:40.0,0.05,00:00:00.0,0.00,35.0,5,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328380,135.91052300
1,1.3,0.0,00:00:15.2,03:28:19.9,0.04,00:00:00.0,0.00,31.5,6,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328400,135.91052260
1,1.3,0.0,00:00:16.6,02:46:40.0,0.05,00:00:00.0,0.00,38.0,7,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328390,135.91052290
1,1.3,0.0,00:00:17.4,02:18:53.3,0.06,00:00:00.0,0.00,73.5,8,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328400,135.91052290
1,1.3,0.0,00:00:19.2,02:46:40.0,0.05,00:00:00.0,0.00,36.5,9,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328430,135.91052250
1,1.3,0.0,00:00:20.6,03:28:19.9,0.04,00:00:00.0,0.00,34.0,10,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328440,135.91052200
1,1.3,0.0,00:00:22.6,02:18:53.3,0.06,00:00:00.0,0.00,50.5,11,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328490,135.91052270
1,1.3,0.0,00:00:25.4,01:44:09.9,0.08,00:00:00.0,0.00,19.5,12,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328490,135.91052410
1,1.3,0.0,00:00:27.4,01:44:09.9,0.08,00:00:00.0,0.00,30.0,13,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328510,135.91052460
1,1.3,0.0,00:00:29.8,01:59:02.8,0.07,00:00:00.0,0.00,30.5,14,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328460,135.91052480
1,1.3,0.0,00:00:31.4,02:46:40.0,0.05,00:00:00.0,0.00,27.0,15,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328460,135.91052450
1,1.3,0.0,00:00:32.6,03:28:19.9,0.04,00:00:00.0,0.00,70.5,16,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328480,135.91052430
1,1.3,0.0,00:00:33.2,03:28:19.9,0.04,00:00:00.0,0.00,46.5,17,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328470,135.91052420
1,1.3,0.0,00:00:35.4,01:32:35.5,0.09,00:00:00.0,0.00,34.0,18,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328590,135.91052500
1,1.3,0.0,00:00:38.4,01:04:06.1,0.13,00:00:00.0,0.00,23.5,19,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328490,135.91052710
1,1.3,0.0,00:00:41.0,01:44:09.9,0.08,00:00:00.0,0.00,27.5,20,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328500,135.91052670
1,1.3,0.0,00:00:41.8,03:28:19.9,0.04,00:00:00.0,0.00,29.0,21,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328510,135.91052660
1,1.3,0.0,00:00:44.4,03:28:19.9,0.04,00:00:00.0,0.00,26.5,22,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328540,135.91052680
1,1.3,0.0,00:00:45.2,01:59:02.8,0.07,00:00:00.0,0.00,52.0,23,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328650,135.91052700
1,1.3,0.0,00:00:46.8,01:23:20.0,0.10,00:00:00.0,0.00,57.0,24,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328840,135.91052780
1,1.3,0.0,00:00:47.4,01:04:06.1,0.13,00:00:00.0,0.00,58.0,25,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328870,135.91052810
1,1.3,0.0,00:00:48.2,01:09:26.6,0.12,00:00:00.0,0.00,63.0,26,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.59328880,135.91052930
